stateid,year,forecast_price
CA,2026,32.7790543296323
CA,2027,32.942925428605164
CA,2028,33.0552586254976
CA,2029,33.132262729352206
CA,2030,33.18504883510266
CA,2031,33.22123356839375
CA,2032,33.24603810558649
CA,2033,33.26304154901101
CA,2034,33.27469736367282
CA,2035,33.28268739322382
CA,2036,33.28816453695663
CA,2037,33.29191910423056
CA,2038,33.29449284998238
CA,2039,33.29625714576183
CA,2040,33.29746656576579
CA,2041,33.29829561992044
CA,2042,33.298863934310056
CA,2043,33.299253512293156
CA,2044,33.29952056695108
CA,2045,33.299703632199666
CA,2046,33.29982912293441
CA,2047,33.29991514649502
CA,2048,33.299974115414074
CA,2049,33.30001453844923
CA,2050,33.30004224833094
MA,2026,30.89002131845368
MA,2027,31.113611778775173
MA,2028,31.235538838898083
MA,2029,31.30202740003276
MA,2030,31.33828455867583
MA,2031,31.35805610329094
MA,2032,31.368837807955547
MA,2033,31.37471722495294
MA,2034,31.377923354716696
MA,2035,31.379671702906084
MA,2036,31.380625102056015
MA,2037,31.38114500418112
MA,2038,31.38142851420912
MA,2039,31.381583116262263
MA,2040,31.381667422962117
MA,2041,31.38171339660539
MA,2042,31.38173846668736
MA,2043,31.38175213775985
MA,2044,31.381759592790246
MA,2045,31.38176365812442
MA,2046,31.381765875009002
MA,2047,31.381767083907715
MA,2048,31.381767743137388
MA,2049,31.38176810262471
MA,2050,31.381768298658265
NV,2026,13.235237172291246
NV,2027,13.206441076813762
NV,2028,13.216169404167408
NV,2029,13.212882835223583
NV,2030,13.213993153064447
NV,2031,13.213618048896906
NV,2032,13.213744772193001
NV,2033,13.21370196063514
NV,2034,13.213716423875468
NV,2035,13.213711537687455
NV,2036,13.213713188412518
NV,2037,13.213712630739906
NV,2038,13.213712819141202
NV,2039,13.21371275549266
NV,2040,13.213712776995362
NV,2041,13.213712769730998
NV,2042,13.213712772185154
NV,2043,13.213712771356054
NV,2044,13.213712771636153
NV,2045,13.213712771541527
NV,2046,13.213712771573496
NV,2047,13.213712771562696
NV,2048,13.213712771566344
NV,2049,13.213712771565111
NV,2050,13.213712771565527
WA,2026,14.24419955582427
WA,2027,15.297564913237183
WA,2028,16.275857111025303
WA,2029,17.184426599776724
WA,2030,18.028242504428153
WA,2031,18.811919801275526
WA,2032,19.539744558083942
WA,2033,20.21569737533954
WA,2034,20.843475156847532
WA,2035,21.426511328743644
WA,2036,21.967994617500246
WA,2037,22.470886489627368
WA,2038,22.93793734844935
WA,2039,23.37170157654013
WA,2040,23.774551506086897
WA,2041,24.148690393588407
WA,2042,24.496164469848896
WA,2043,24.818874131171107
WA,2044,25.118584332954978
WA,2045,25.39693424254644
WA,2046,25.655446204129408
WA,2047,25.895534064691528
WA,2048,26.11851090659985
WA,2049,26.325596229077227
WA,2050,26.517922617856158
